Race,Date,Rank,Athlete,Nationality,Main Sponsor,Coach,Shoe Brand,Shoe Model
CCC by UTMB,9/1/2023,F1,Yngvild Kaspersen,Norway,Adidas Terrex,Tom Evans,Adidas,Agravic Speed Ultra
CCC by UTMB,9/1/2023,F2,Emily Hawgood,Zimbabwe,Adidas Terrex,Paul Lind,Adidas,--
CCC by UTMB,9/1/2023,F3,Helen Mino Faukner,USA,Hoka,Rick Floyd,Hoka,--
CCC by UTMB,9/1/2023,M1,Jonathan Albon,UK,The North Face,--,The North Face,--
CCC by UTMB,9/1/2023,M2,Jiasheng Shen,China,The North Face,--,The North Face,--
CCC by UTMB,9/1/2023,M3,Dakota Jones,USA,NNormal,CTS,NNormal,--
Grindstone by UTMB,9/23/2023,F1,Lotti Brinks,USA,Salomon,Patrick Reagan,Salomon,--
Grindstone by UTMB,9/23/2023,F2,Devon Yanko,USA,Lululemon,--,Lululemon,--
Grindstone by UTMB,9/23/2023,F3,Anna Fisher,USA,The North Face,,The North Face,--
Grindstone by UTMB,9/23/2023,M1,Caleb Olson,USA,Arivaipa,--,Nike,--
Grindstone by UTMB,9/23/2023,M2,Caleb Bowen,USA,Roam,--,Hoka,--
Grindstone by UTMB,9/23/2023,M3,Justin Grunewald,USA,Altra,,Altra,--
Nice Côte d’Azur by UTMB,9/30/2023,F1,Eleanor Davis,UK,The North Face,--,The North Face,--
Nice Côte d’Azur by UTMB,9/30/2023,F2,Marjo Liikanen,Finland,--,,Salomon,--
Nice Côte d’Azur by UTMB,9/30/2023,F3,Giulia Vinco,Italy,Brooks,,Brooks,--
Nice Côte d’Azur by UTMB,9/30/2023,M1,Jim Walmsley,USA,Hoka,--,Hoka,Tecton X
Nice Côte d’Azur by UTMB,9/30/2023,M2,Simon Gosselin,France,On,--,On,--
Nice Côte d’Azur by UTMB,9/30/2023,M3,Philipp Ausserhoffer,Italy,Scarpa,--,Scarpa,--
Javelina Jundred,10/28/2023,F1,Heather Jackson,USA,Hoka,--,Hoka,--
Javelina Jundred,10/28/2023,F2,Ragna Debats,Spain,Merrell,--,Merrell,--
Javelina Jundred,10/28/2023,F3,Riley Brady,USA,--,--,Altra,Superior
Javelina Jundred,10/28/2023,M1,Jonathan Rea,USA,Hoka,--,Hoka,--
Javelina Jundred,10/28/2023,M2,Blake Slattengren,USA,Brooks,Joe McConaughy,Brooks,--
Javelina Jundred,10/28/2023,M3,Ryan Montgomery,USA,Janji,--,Altra,--
Doi Inthanon Thailand by UTMB,12/8/2023,F1,Lin Chen,China,Adidas Terrex,--,Adidas,--
Doi Inthanon Thailand by UTMB,12/8/2023,F2,Anna Li,China,--,--,--,--
Doi Inthanon Thailand by UTMB,12/8/2023,F3,Yuanyuan Wu,China,Altra,--,Altra,--
Doi Inthanon Thailand by UTMB,12/8/2023,M1,Ji Duo,China,Hoka,--,Hoka,--
Doi Inthanon Thailand by UTMB,12/8/2023,M2,Gediminas Grinius,Lithuania,Vibram,--,Vibram,--
Doi Inthanon Thailand by UTMB,12/8/2023,M3,Beñat Marsolle,France,La Sportiva,--,La Sportivia,--
HURT 100,1/13/2024,F1,Andrea Tarras,Canada,--,--,--,--
HURT 100,1/13/2024,F2,Katherina Laan,USA,--,--,--,--
HURT 100,1/13/2024,F3,Candice Burt,USA,--,--,--,--
HURT 100,1/13/2024,M1,Ihor Verys,Canada,--,--,--,--
HURT 100,1/13/2024,M2,Anthony Lee,USA,Topo,--,Topo,--
HURT 100,1/13/2024,M3,Michito Sawa,Japan,--,--,--,--
Hong Kong 100K,1/20/2024,F1,Lin Chen,China,Adidas Terrex,--,Adidas,--
Hong Kong 100K,1/20/2024,F2,Ying Li,China,--,--,--,--
Hong Kong 100K,1/20/2024,F3,Tuantuan Wu,China,Altra,--,Altra,--
Hong Kong 100K,1/20/2024,M1,Guangfu Meng,China,Hoka,--,Hoka,--
Hong Kong 100K,1/20/2024,M2,Peiquan You,China,Anta,--,--,--
Hong Kong 100K,1/20/2024,M3,Tyler Green,USA,Nike Trail,--,Nike,--
Rocky Raccoon,2/3/2024,F1,Lindsey Dwyer,USA,--,--,--,--
Rocky Raccoon,2/3/2024,F2,Jaclyn Foroughi,USA,--,--,--,--
Rocky Raccoon,2/3/2024,F3,Tatiana Rypinski,USA,--,--,--,--
Rocky Raccoon,2/3/2024,M1,Terry Palmer,USA,--,--,--,--
Rocky Raccoon,2/3/2024,M2,Peter Polito,USA,--,--,--,--
Rocky Raccoon,2/3/2024,M3,Russ Ford,USA,--,--,--,--
Black Canyon 100K,2/10/2024,F1,Rachel Drake,USA,Nike Trail,SWAP,Nike,--
Black Canyon 100K,2/10/2024,F2,Becca Windell,USA,--,--,--,--
Black Canyon 100K,2/10/2024,F3,Lauren Puretz,USA,Aravaipa,SWAP,The North Face,Summit Vectiv
Black Canyon 100K,2/10/2024,M1,Hayden Hawks,USA,Hoka,Robbie Britton,Hoka,Tecton X
Black Canyon 100K,2/10/2024,M2,Jupiter Carera Casas,Mexico,Buff,--,--,--
Black Canyon 100K,2/10/2024,M3,Chris Myers,USA,Salomon,SWAP,Salomon,--
Transgrancanaria 126K,2/24/2024,F1,Courtney Dauwalter,USA,Salomon,--,Salomon,--
Transgrancanaria 126K,2/24/2024,F2,Claudia Tremps,Spain,On,--,On,--
Transgrancanaria 126K,2/24/2024,F3,Emma Stuart,Ireland,Scarpa,--,Salomon,--
Transgrancanaria 126K,2/24/2024,M1,Raul Butaci,Romania,BIGK,,Brooks,Catamount
Transgrancanaria 126K,2/24/2024,M2,Miguel Heras,Spain,Joma,--,Joma,--
Transgrancanaria 126K,2/24/2024,M3,Ionel Manole,Romania,BIGK,--,--,--
Mt. Fuji 100 Mile,4/26/2024,F1,Courtney Dauwalter,USA,Salomon,--,Salomon,--
Mt. Fuji 100 Mile,4/26/2024,F2,Yukari Seimiya,Japan,--,--,--,--
Mt. Fuji 100 Mile,4/26/2024,F3,ChiYee Yan,Hong Kong,--,--,--,--
Mt. Fuji 100 Mile,4/26/2024,M1,Guomin Deng,China,The North Face,--,--,--
Mt. Fuji 100 Mile,4/26/2024,M2,Qin Guidu,China,Outopia,--,--,--
Mt. Fuji 100 Mile,4/26/2024,M3,Ryo Murata,Japan,Answer4,--,--,--
Maderia Island Ultra-Trail 115K,4/27/2024,F1,Martina Valmassoi,Italy,Salomon,--,Salomon,--
Maderia Island Ultra-Trail 115K,4/27/2024,F2,Anne-Lise Rousset Séguret,France,Scott,--,--,--
Maderia Island Ultra-Trail 115K,4/27/2024,F3,Maite Maiora,Spain,Vibram,--,--,--
Maderia Island Ultra-Trail 115K,4/27/2024,M1,Ben Dhiman,USA,Asics,--,--,--
Maderia Island Ultra-Trail 115K,4/27/2024,M2,Martin Kern,France,Brooks,--,--,--
Maderia Island Ultra-Trail 115K,4/27/2024,M3,Anthony Costa,France,--,--,--,--
The Canyons by UTMB,4/27/2024,F1,Katie Schide,USA,The North Face,,The North Face,--
The Canyons by UTMB,4/27/2024,F2,EmKay Sullivan,USA,Craft,--,Craft,--
The Canyons by UTMB,4/27/2024,F3,Anna Kacius,USA,Impala,--,--,--
The Canyons by UTMB,4/27/2024,M1,Rod Farvard,USA,The North Face,--,The North Face,--
The Canyons by UTMB,4/27/2024,M2,Drew Holmen,USA,Nike Trail,--,Nike Trail,--
The Canyons by UTMB,4/27/2024,M3,Petter Engdahl,Sweden,Adidas TERREX,,Adidas,--
Cocodona 250,5/6/2024,F1,Rachel Entrekin,USA,--,--,--,--
Cocodona 250,5/6/2024,F2,Manu Vilaseca,Brazil,--,--,--,--
Cocodona 250,5/6/2024,F3,Mika Thewes,USA,Janji,--,--,--
Cocodona 250,5/6/2024,M1,Harry Subertas,USA,Merrell,--,Merrell,--
