lat,lon,miles,km,feet,meters,event
34.361,-117.634,0,0,5678,1731,Angeles Crest 100
34.36,-117.634,0.1,0.16,5696,1737,Angeles Crest 100
34.36,-117.636,0.2,0.32,5726,1746,Angeles Crest 100
34.36,-117.638,0.3,0.48,5757,1755,Angeles Crest 100
34.361,-117.639,0.4,0.64,5786,1764,Angeles Crest 100
34.36,-117.64,0.5,0.8,5817,1773,Angeles Crest 100
34.359,-117.641,0.6,0.97,5854,1785,Angeles Crest 100
34.358,-117.641,0.7,1.13,5897,1798,Angeles Crest 100
34.356,-117.641,0.8,1.29,5941,1811,Angeles Crest 100
34.355,-117.641,0.9,1.45,5985,1825,Angeles Crest 100
34.354,-117.642,1,1.61,6032,1839,Angeles Crest 100
34.353,-117.643,1.1,1.77,6085,1855,Angeles Crest 100
34.352,-117.644,1.2,1.93,6139,1872,Angeles Crest 100
34.351,-117.645,1.3,2.09,6195,1889,Angeles Crest 100
34.35,-117.646,1.4,2.25,6254,1907,Angeles Crest 100
34.348,-117.646,1.5,2.41,6309,1923,Angeles Crest 100
34.347,-117.646,1.6,2.57,6359,1939,Angeles Crest 100
34.346,-117.646,1.7,2.74,6422,1958,Angeles Crest 100
34.346,-117.646,1.8,2.9,6489,1978,Angeles Crest 100
34.347,-117.645,1.9,3.06,6545,1995,Angeles Crest 100
34.347,-117.644,2,3.22,6607,2014,Angeles Crest 100
34.346,-117.642,2.1,3.38,6673,2034,Angeles Crest 100
34.345,-117.643,2.2,3.54,6735,2053,Angeles Crest 100
34.344,-117.643,2.3,3.7,6817,2078,Angeles Crest 100
34.344,-117.643,2.4,3.86,6900,2104,Angeles Crest 100
34.345,-117.642,2.5,4.02,6980,2128,Angeles Crest 100
34.344,-117.641,2.6,4.18,7064,2154,Angeles Crest 100
34.343,-117.642,2.7,4.35,7150,2180,Angeles Crest 100
34.342,-117.641,2.8,4.51,7229,2204,Angeles Crest 100
34.342,-117.641,2.9,4.67,7312,2229,Angeles Crest 100
34.341,-117.641,3,4.83,7390,2253,Angeles Crest 100
34.34,-117.642,3.1,4.99,7482,2281,Angeles Crest 100
34.34,-117.642,3.2,5.15,7561,2305,Angeles Crest 100
34.339,-117.643,3.3,5.31,7629,2326,Angeles Crest 100
34.338,-117.643,3.4,5.47,7688,2344,Angeles Crest 100
34.337,-117.642,3.5,5.63,7734,2358,Angeles Crest 100
34.336,-117.643,3.6,5.79,7770,2369,Angeles Crest 100
34.336,-117.644,3.7,5.95,7787,2374,Angeles Crest 100
34.337,-117.646,3.8,6.12,7796,2377,Angeles Crest 100
34.337,-117.647,3.9,6.28,7801,2378,Angeles Crest 100
34.338,-117.648,4,6.44,7806,2380,Angeles Crest 100
34.338,-117.65,4.1,6.6,7814,2382,Angeles Crest 100
34.339,-117.651,4.2,6.76,7826,2386,Angeles Crest 100
34.339,-117.653,4.3,6.92,7838,2390,Angeles Crest 100
34.34,-117.654,4.4,7.08,7845,2392,Angeles Crest 100
34.341,-117.655,4.5,7.24,7858,2396,Angeles Crest 100
34.341,-117.657,4.6,7.4,7878,2402,Angeles Crest 100
